id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
49131,2018-12-03 17:20:00,CORRIENTES,21,1,1,Motocicleta,,2018,Privado,,,,,,,
49133,2018-12-04 13:00:00,CORRIENTES,21,0,1,Automóvil,,2018,Privado,,,,,,,
49133,2018-12-04 13:00:00,CORRIENTES,21,1,1,Motocicleta,,2012,Privado,,,,,,,
49145,2018-12-07 9:05:00,CORRIENTES,21,0,1,Automóvil,,2004,Privado,,,,,,,
49145,2018-12-07 9:05:00,CORRIENTES,21,1,1,Motocicleta,,2002,Privado,,,,,,,
49147,2018-12-07 12:05:00,CORRIENTES,21,0,1,Automóvil,,2013,Privado,,,,,,,
49147,2018-12-07 12:05:00,CORRIENTES,21,1,1,Motocicleta,,2011,,,,,,,,
49149,2018-12-19 17:50:00,CORRIENTES,21,0,1,Motocicleta,,2010,Privado,,,,,,,
49149,2018-12-19 17:50:00,CORRIENTES,21,1,1,Motocicleta,,2017,Privado,,,,,,,
49163,2018-12-23 10:30:00,CORRIENTES,21,0,1,Automóvil,,2018,Privado,,,,,,,
49163,2018-12-23 10:30:00,CORRIENTES,21,1,1,Motocicleta,,2005,Privado,,,,,,,
49165,2018-12-14 15:15:00,CORRIENTES,21,0,1,Motocicleta,,2013,Privado,,,,,,,
49165,2018-12-14 15:15:00,CORRIENTES,21,1,1,Automóvil,,2017,Privado,,,,,,,
49183,2018-12-21 16:10:00,CORRIENTES,21,0,1,Automóvil,,2014,Privado,,,,,,,
49183,2018-12-21 16:10:00,CORRIENTES,21,1,1,Motocicleta,,2018,Privado,,,,,,,
49189,2018-12-24 11:50:00,CORRIENTES,21,0,1,Automóvil,,2010,Privado,,,,,,,
49189,2018-12-24 11:50:00,CORRIENTES,21,1,2,Motocicleta,,2018,Privado,,,,,,,
49191,2018-12-26 9:30:00,CORRIENTES,21,0,1,Automóvil,,2012,Privado,,,,,,,
49191,2018-12-26 9:30:00,CORRIENTES,21,1,2,Motocicleta,,2018,Privado,,,,,,,
49124,2018-12-01 9:10:00,CORRIENTES,21,1,1,Peatón,,,,,,,,,,
49107,2018-11-22 12:50:00,CORRIENTES,21,1,1,Peatón,,,,,,,,,,
49087,2018-07-15 12:08:00,CORRIENTES,21,1,1,Peatón,,,,,,,,,,
48800,2018-08-01 12:30:00,CORRIENTES,21,0,2,Automóvil,,2015,Privado,,,,,,,
48800,2018-08-01 12:30:00,CORRIENTES,21,1,1,Motocicleta,,1917,Privado,,,,,,,
48805,2018-08-03 7:10:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
48813,2018-08-04 13:18:00,CORRIENTES,21,0,1,Motocicleta,,2015,Privado,,,,,,,
48813,2018-08-04 13:18:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,2018,Privado,,,,,,,
48815,2018-07-04 18:25:00,CORRIENTES,21,0,1,Automóvil,,2013,,,,,,,,
48815,2018-07-04 18:25:00,CORRIENTES,21,1,1,Automóvil,,2014,Oficial,Emergencia,,,,,,
48816,2018-08-06 14:20:00,CORRIENTES,21,0,1,Motocicleta,,2013,Privado,,,,,,,
48816,2018-08-06 14:20:00,CORRIENTES,21,1,1,Motocicleta,,2014,,Carga,,,,,,
48835,2018-08-11 7:40:00,CORRIENTES,21,0,1,Motocicleta,,2014,,,,,,,,
48835,2018-08-11 7:40:00,CORRIENTES,21,1,1,Transporte de carga,,2017,Privado,Carga,,,,,,
48836,2018-08-11 7:55:00,CORRIENTES,21,0,1,Automóvil,,2012,Privado,,,,,,,
48836,2018-08-11 7:55:00,CORRIENTES,21,1,1,Automóvil,,2014,Privado,,,,,,,
